numThreads,serialTime,parallelTime,speedUp
164,0.845729,0.175882,4.808502
165,0.848858,0.173950,4.879897
166,0.842913,0.176139,4.785499
167,0.832069,0.173913,4.784398
168,0.833959,0.175508,4.751687
169,0.840703,0.174717,4.811799
170,0.849755,0.180432,4.709558
171,0.858084,0.172986,4.960425
172,0.841983,0.175125,4.807897
173,0.835994,0.173330,4.823135
174,0.848915,0.176517,4.809253
175,0.836195,0.180662,4.628505
176,0.854622,0.171727,4.976632
177,0.835321,0.174616,4.783760
178,0.850132,0.175657,4.839727
179,0.849732,0.172258,4.932903
180,0.843515,0.176503,4.779041
181,0.858657,0.175194,4.901178
182,0.851596,0.183651,4.637034
183,0.845918,0.172855,4.893801
184,0.847324,0.173692,4.878313
185,0.862285,0.177532,4.857068
186,0.856095,0.173726,4.927846
187,0.831774,0.174294,4.772247
188,0.835020,0.175897,4.747210
189,0.832990,0.173354,4.805139
190,0.853382,0.186356,4.579311
191,0.861491,0.175990,4.895113
192,0.826138,0.180490,4.577195
193,0.833546,0.176765,4.715560
194,0.837917,0.180582,4.640091
195,0.858819,0.175974,4.880374
196,0.833596,0.174718,4.771094
197,0.827150,0.181580,4.555292
198,0.840778,0.182986,4.594767
199,0.848158,0.174071,4.872483
200,0.847631,0.176274,4.808599
201,0.848504,0.176585,4.805074
202,0.839152,0.179135,4.684467
203,0.845530,0.174730,4.839066
204,0.835228,0.179641,4.649429
205,0.888468,0.189266,4.694282
206,0.868561,0.174252,4.984511
207,0.864442,0.186135,4.644167
208,0.889960,0.183225,4.857197
209,1.064891,0.217688,4.891822
210,1.095244,0.213499,5.129973
211,1.080006,0.247665,4.360753
212,1.110022,0.237560,4.672596
213,1.121660,0.244186,4.593466
214,1.202968,0.256812,4.684236
215,1.196091,0.265405,4.506663
216,1.165690,0.262492,4.440859
217,1.188937,0.263234,4.516654
218,1.188780,0.273309,4.349582
219,1.156729,0.264242,4.377537
220,1.182024,0.269157,4.391578
221,1.154613,0.299198,3.859026
222,1.140165,0.317793,3.587760
223,1.119303,0.392916,2.848708
224,1.118349,0.404938,2.761778
225,1.089068,0.430308,2.530903
226,1.087714,0.463935,2.344540
227,1.100267,0.427549,2.573429
228,1.091802,0.437340,2.496460
229,1.095845,0.415185,2.639414
230,1.094631,0.453447,2.414022
231,1.093589,0.454313,2.407127
232,1.105108,0.443664,2.490867
233,1.093139,0.441023,2.478644
234,1.096447,0.419824,2.611683
235,1.090492,0.449937,2.423655
236,1.097015,0.437044,2.510079
237,1.099955,0.418056,2.631119
238,1.101277,0.434817,2.532737
239,1.102445,0.437323,2.520894
240,1.103278,0.420570,2.623292
241,1.088736,0.463601,2.348433
242,1.095636,0.464987,2.356272
243,1.102077,0.452932,2.433206
244,1.113348,0.420938,2.644922
245,1.099616,0.453419,2.425165
246,1.138793,0.393887,2.891167
247,1.119351,0.432945,2.585435
248,1.111651,0.412383,2.695676
249,1.087687,0.456431,2.383026
250,1.114402,0.429600,2.594046
251,1.106609,0.456708,2.423012
252,1.108434,0.441481,2.510717
253,1.102161,0.431958,2.551547
254,1.094933,0.448106,2.443469
255,1.105808,0.434624,2.544287
256,1.094856,0.445778,2.456057
257,1.098696,0.457248,2.402845
258,1.104889,0.437861,2.523378
259,1.114729,0.423192,2.634098
260,1.080649,0.458816,2.355299
261,1.100572,0.443544,2.481314
262,1.102568,0.423274,2.604856
263,1.095044,0.446826,2.450717
264,1.082020,0.449021,2.409731
265,1.107244,0.449871,2.461248
266,1.086322,0.460286,2.360102
267,1.122615,0.414796,2.706427
268,1.087603,0.442253,2.459233
269,1.112862,0.422062,2.636726
270,1.116914,0.442989,2.521313
271,1.098252,0.444764,2.469292
272,1.107189,0.432609,2.559330
273,1.124498,0.434698,2.586849
274,1.096149,0.438485,2.499855
275,1.125212,0.417308,2.696359
276,1.102989,0.429075,2.570621
277,1.089170,0.437163,2.491451
278,1.111427,0.441712,2.516180
279,1.091507,0.492457,2.216451
280,1.087991,0.440992,2.467145
281,1.136024,0.422941,2.686011
282,1.104690,0.417803,2.644045
283,1.089151,0.456147,2.387719
284,1.085626,0.458627,2.367122
285,1.129726,0.410389,2.752817
286,1.095962,0.448181,2.445356
287,1.095778,0.447642,2.447889
288,1.085493,0.457716,2.371543
289,1.091004,0.467137,2.335512
290,1.117986,0.424669,2.632606
291,1.138599,0.392965,2.897457
292,1.110997,0.422486,2.629666
293,1.093674,0.457709,2.389453
294,1.109992,0.426512,2.602487
295,1.115025,0.416108,2.679653
296,1.109557,0.436735,2.540573
297,1.101198,0.428997,2.566913
298,1.109659,0.432688,2.564571
299,1.092967,0.454034,2.407236
